# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'L1-dcache-load-misses'
# Event count (approx.): 620524007
#
# Overhead  Command  Shared Object     Symbol                               
# ........  .......  ................  .....................................
#
     0.00%  app      [unknown]         [k] 0xffffffff838b8ff7
     0.00%  app      [unknown]         [k] 0xffffffff83bed1f2
     0.00%  app      [unknown]         [k] 0xffffffff83c34046
     0.00%  app      [unknown]         [k] 0xffffffff8381731b
     0.00%  app      [unknown]         [k] 0xffffffff83c15322
     0.00%  app      [unknown]         [k] 0xffffffff83cb737d
     0.00%  app      [unknown]         [k] 0xffffffff83bfc826
     0.00%  app      [unknown]         [k] 0xffffffff8398eede
     0.00%  app      [unknown]         [k] 0xffffffff83cb7381
     0.00%  app      [unknown]         [k] 0xffffffff83cb6e3f
     0.00%  app      [unknown]         [k] 0xffffffff8395f6fe
     0.00%  app      [unknown]         [k] 0xffffffff83bfe201
     0.00%  app      [unknown]         [k] 0xffffffff83beb80e
     0.00%  app      [unknown]         [k] 0xffffffff838b82c5
     0.00%  app      [unknown]         [k] 0xffffffff83753865
     0.00%  app      [unknown]         [k] 0xffffffff84b32ae0
     0.00%  app      [unknown]         [k] 0xffffffff83bfcc0a
     0.00%  app      [unknown]         [k] 0xffffffff83bfe08b
     0.00%  app      [unknown]         [k] 0xffffffff83b993c6
     0.00%  app      [unknown]         [k] 0xffffffff83c34c33
     0.00%  app      [unknown]         [k] 0xffffffff83cbd7de
     0.00%  app      [unknown]         [k] 0xffffffff83bfddb6
     0.00%  app      [unknown]         [k] 0xffffffff83bfe1db
     0.00%  app      [unknown]         [k] 0xffffffff83bfdee6
     0.00%  app      [unknown]         [k] 0xffffffff83beb7c4
     0.00%  app      [unknown]         [k] 0xffffffff83cb6d4d
     0.00%  app      [unknown]         [k] 0xffffffff83cb720a
     0.00%  app      [unknown]         [k] 0xffffffff83c34c8d
     0.00%  app      [unknown]         [k] 0xffffffff834011a9
     0.00%  app      [unknown]         [k] 0xffffffff83bfcd25
     0.00%  app      [unknown]         [k] 0xffffffff83bfe430
     0.00%  app      [unknown]         [k] 0xffffffff83c33972
     0.00%  app      [unknown]         [k] 0xffffffff83beb852
     0.00%  app      app               [.] create_bvh
     0.00%  app      [unknown]         [k] 0xffffffff834015f7
     0.00%  app      [unknown]         [k] 0xffffffff83bfe75c
     0.00%  app      [unknown]         [k] 0xffffffff83cb720f
     0.00%  app      [unknown]         [k] 0xffffffff84b20291
     0.00%  app      [unknown]         [k] 0xffffffff83c12fce
     0.00%  app      [unknown]         [k] 0xffffffff83c11c03
     0.00%  app      [unknown]         [k] 0xffffffff83c37d5d
     0.00%  app      [unknown]         [k] 0xffffffff83cba050
     0.00%  app      [unknown]         [k] 0xffffffff83becc1b
     0.00%  app      [unknown]         [k] 0xffffffff838ab255
     0.00%  app      [unknown]         [k] 0xffffffff83bfcb92
     0.00%  app      [unknown]         [k] 0xffffffff83c33f48
     0.00%  app      [unknown]         [k] 0xffffffff83c350e8
     0.00%  app      [unknown]         [k] 0xffffffff84b208e0
     0.00%  app      [unknown]         [k] 0xffffffff84b20315
     0.00%  app      [unknown]         [k] 0xffffffff83c12f90
     0.00%  app      [unknown]         [k] 0xffffffff83bf4d8b
     0.00%  app      [unknown]         [k] 0xffffffff83bfddc2
     0.00%  app      [unknown]         [k] 0xffffffff83bfe8bc
     0.00%  app      [unknown]         [k] 0xffffffff83995c97
     0.00%  app      [unknown]         [k] 0xffffffff8395f678
     0.00%  app      [unknown]         [k] 0xffffffff84ae9e04
     0.00%  app      [unknown]         [k] 0xffffffff83c11e94
     0.00%  app      [unknown]         [k] 0xffffffff834011ab
     0.00%  app      [unknown]         [k] 0xffffffff83c34d06
     0.00%  app      [unknown]         [k] 0xffffffff83bfe882
     0.00%  app      [unknown]         [k] 0xffffffff83cb71d7
     0.00%  app      [unknown]         [k] 0xffffffff83817412
     0.00%  app      [unknown]         [k] 0xffffffff83b9868e
     0.00%  app      [unknown]         [k] 0xffffffff83beb850
     0.00%  app      [unknown]         [k] 0xffffffff84b321ac
     0.00%  app      [unknown]         [k] 0xffffffff83cba19f
     0.00%  app      [unknown]         [k] 0xffffffff84ae9c80
     0.00%  app      [unknown]         [k] 0xffffffff83cba198
     0.00%  app      [unknown]         [k] 0xffffffff83817333
     0.00%  app      [unknown]         [k] 0xffffffff83cb731c
     0.00%  app      [unknown]         [k] 0xffffffff83c350e6
     0.00%  app      [unknown]         [k] 0xffffffff83c7e792
     0.00%  app      [unknown]         [k] 0xffffffff83c7e904
     0.00%  app      app               [.] grow_dyn_array
     0.00%  app      [unknown]         [k] 0xffffffff83b9aa60
     0.00%  app      [unknown]         [k] 0xffffffff83bfce8b
     0.00%  app      [unknown]         [k] 0xffffffff83bfe855
     0.00%  app      [unknown]         [k] 0xffffffff8395f671
     0.00%  app      [unknown]         [k] 0xffffffff83c37e2b
     0.00%  app      [unknown]         [k] 0xffffffff83c350ff
     0.00%  app      [unknown]         [k] 0xffffffff83c34c94
     0.00%  app      [unknown]         [k] 0xffffffff84b2095e
     0.00%  app      [unknown]         [k] 0xffffffff83cb71ee
     0.00%  app      [unknown]         [k] 0xffffffff84b2098b
     0.00%  app      [unknown]         [k] 0xffffffff83817496
     0.00%  app      [unknown]         [k] 0xffffffff83817128
     0.00%  app      [unknown]         [k] 0xffffffff838b8e71
     0.00%  app      [unknown]         [k] 0xffffffff84b209ac
     0.00%  app      [unknown]         [k] 0xffffffff83bfe853
     0.00%  app      [unknown]         [k] 0xffffffff83cb3b86
     0.00%  app      [unknown]         [k] 0xffffffff83c11e23
     0.00%  app      [unknown]         [k] 0xffffffff83bfde02
     0.00%  app      [unknown]         [k] 0xffffffff83cba056
     0.00%  app      [unknown]         [k] 0xffffffff83b993ef
     0.00%  app      [unknown]         [k] 0xffffffff838172ca
     0.00%  app      [unknown]         [k] 0xffffffff83bfddfe
     0.00%  app      [unknown]         [k] 0xffffffff84b32af9
     0.00%  app      [unknown]         [k] 0xffffffff83bfddb5
     0.00%  app      [unknown]         [k] 0xffffffff83817061
     0.00%  app      [unknown]         [k] 0xffffffff83bfe887
     0.00%  app      [unknown]         [k] 0xffffffff83c7e8ee
     0.00%  app      [unknown]         [k] 0xffffffff83c64554
     0.00%  app      [unknown]         [k] 0xffffffff83bfdfb6
     0.00%  app      [unknown]         [k] 0xffffffff83b99227
     0.00%  app      [unknown]         [k] 0xffffffff83b9878e
     0.00%  app      [unknown]         [k] 0xffffffff83cba055
     0.00%  app      [unknown]         [k] 0xffffffff83bfe707
     0.00%  app      [unknown]         [k] 0xffffffff838b83dc
     0.00%  app      [unknown]         [k] 0xffffffff838db7a0
     0.00%  app      [unknown]         [k] 0xffffffff83bf4500
     0.00%  app      [unknown]         [k] 0xffffffff83995251
     0.00%  app      [unknown]         [k] 0xffffffff83994e0c
     0.00%  app      [unknown]         [k] 0xffffffff83c7b089
     0.00%  app      [unknown]         [k] 0xffffffff83cb3b8a
     0.00%  app      [unknown]         [k] 0xffffffff83bfdf76
     0.00%  app      [unknown]         [k] 0xffffffff83bfe09c
     0.00%  app      [unknown]         [k] 0xffffffff838b83b1
     0.00%  app      [unknown]         [k] 0xffffffff8395f68e
     0.00%  app      [unknown]         [k] 0xffffffff838eee18
     0.00%  app      [unknown]         [k] 0xffffffff83bee682
     0.00%  app      [unknown]         [k] 0xffffffff84b20962
     0.00%  app      [unknown]         [k] 0xffffffff8395f692
     0.00%  app      [unknown]         [k] 0xffffffff83bfcbcd
     0.00%  app      [unknown]         [k] 0xffffffff83becdb0
     0.00%  app      [unknown]         [k] 0xffffffff8395f67d
     0.00%  app      [unknown]         [k] 0xffffffff83c152a9
     0.00%  app      [unknown]         [k] 0xffffffff83b97fe9
     0.00%  app      [unknown]         [k] 0xffffffff83c3494d
     0.00%  app      [unknown]         [k] 0xffffffff84ae9f80
     0.00%  app      [unknown]         [k] 0xffffffff83b97ea5
     0.00%  app      [unknown]         [k] 0xffffffff83bfcd88
     0.00%  app      [unknown]         [k] 0xffffffff83bfcac6
     0.00%  app      [unknown]         [k] 0xffffffff83cbd7f2
