# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu/cycles/P'
# Event count (approx.): 25145527819
#
# Overhead  Command  Shared Object         Symbol                          
# ........  .......  ....................  ................................
#
     0.00%  app      [unknown]             [k] 0xffffffff8398f716
     0.00%  app      [unknown]             [k] 0xffffffff83809282
     0.00%  app      [unknown]             [k] 0xffffffff83cb736d
     0.00%  app      [unknown]             [k] 0xffffffff84053859
     0.00%  app      [unknown]             [k] 0xffffffff83b6213b
     0.00%  app      [unknown]             [k] 0xffffffff8389f670
     0.00%  app      [unknown]             [k] 0xffffffff8398eede
     0.00%  app      [unknown]             [k] 0xffffffff8395f68e
     0.00%  app      [unknown]             [k] 0xffffffff8398928e
     0.00%  app      [unknown]             [k] 0xffffffff83c33812
     0.00%  app      [unknown]             [k] 0xffffffff83bfe885
     0.00%  app      [unknown]             [k] 0xffffffff838b8489
     0.00%  app      [unknown]             [k] 0xffffffff8398f592
     0.00%  app      [unknown]             [k] 0xffffffff839747a7
     0.00%  app      [unknown]             [k] 0xffffffff83c7e890
     0.00%  app      [unknown]             [k] 0xffffffff83cb6e20
     0.00%  app      [unknown]             [k] 0xffffffff83beb87f
     0.00%  app      [unknown]             [k] 0xffffffff83cbbeea
     0.00%  app      [unknown]             [k] 0xffffffff83a9df69
     0.00%  app      [unknown]             [k] 0xffffffff83c34d06
     0.00%  app      [unknown]             [k] 0xffffffffc106f839
     0.00%  app      [unknown]             [k] 0xffffffff8395f6c2
     0.00%  app      [unknown]             [k] 0xffffffff83bfcc0a
     0.00%  app      [unknown]             [k] 0xffffffff837edf28
     0.00%  app      [unknown]             [k] 0xffffffff8389cf6b
     0.00%  app      [unknown]             [k] 0xffffffff84053860
     0.00%  app      [unknown]             [k] 0xffffffff83c8c679
     0.00%  app      [unknown]             [k] 0xffffffff83cb71c7
     0.00%  app      [unknown]             [k] 0xffffffff84b1f89c
     0.00%  app      [unknown]             [k] 0xffffffff83bfe7d5
     0.00%  app      [unknown]             [k] 0xffffffff83bfc857
     0.00%  app      [unknown]             [k] 0xffffffff83c7e92b
     0.00%  app      [unknown]             [k] 0xffffffff834011a7
     0.00%  app      [unknown]             [k] 0xffffffff8384df5a
     0.00%  app      [unknown]             [k] 0xffffffff83bfcb06
     0.00%  app      [unknown]             [k] 0xffffffff83b9932e
     0.00%  app      [unknown]             [k] 0xffffffff838a519b
     0.00%  app      [unknown]             [k] 0xffffffff83c34c00
     0.00%  app      [unknown]             [k] 0xffffffff837ef910
     0.00%  app      [unknown]             [k] 0xffffffff83bc5d19
     0.00%  app      [unknown]             [k] 0xffffffff837c54a9
     0.00%  app      [unknown]             [k] 0xffffffff83c11f1a
     0.00%  app      [unknown]             [k] 0xffffffff84b048c2
     0.00%  app      [unknown]             [k] 0xffffffff837b0b9a
     0.00%  app      libc.so.6             [.] qsort
     0.00%  app      [unknown]             [k] 0xffffffff838b8fe9
     0.00%  app      [unknown]             [k] 0xffffffff838b964e
     0.00%  app      [unknown]             [k] 0xffffffff83cb7321
     0.00%  app      [unknown]             [k] 0xffffffff83bfdf7b
     0.00%  app      [unknown]             [k] 0xffffffff838db83a
     0.00%  app      [unknown]             [k] 0xffffffff83990a05
     0.00%  app      [unknown]             [k] 0xffffffff83c32874
     0.00%  app      [unknown]             [k] 0xffffffff83bfe855
     0.00%  app      [unknown]             [k] 0xffffffff838aa652
     0.00%  app      [unknown]             [k] 0xffffffff83b62168
     0.00%  app      [unknown]             [k] 0xffffffff83bfe0c1
     0.00%  app      [unknown]             [k] 0xffffffff837ed046
     0.00%  app      [unknown]             [k] 0xffffffff837eded9
     0.00%  app      [unknown]             [k] 0xffffffff8384dea9
     0.00%  app      [unknown]             [k] 0xffffffff83bed1f1
     0.00%  app      [unknown]             [k] 0xffffffff83c2c691
     0.00%  app      [unknown]             [k] 0xffffffff83bfe6e0
     0.00%  app      [unknown]             [k] 0xffffffff838f4bb1
     0.00%  app      [unknown]             [k] 0xffffffff839781ae
     0.00%  app      [unknown]             [k] 0xffffffff84b3221c
     0.00%  app      [unknown]             [k] 0xffffffff83cbb639
     0.00%  app      [unknown]             [k] 0xffffffff83cb6dac
     0.00%  app      [unknown]             [k] 0xffffffff8397813e
     0.00%  app      [unknown]             [k] 0xffffffff83975b43
     0.00%  app      [unknown]             [k] 0xffffffff83752033
     0.00%  app      [unknown]             [k] 0xffffffff838aa641
     0.00%  app      [unknown]             [k] 0xffffffff8397697b
     0.00%  app      [unknown]             [k] 0xffffffff8398f711
     0.00%  app      [unknown]             [k] 0xffffffff841c77da
     0.00%  app      [unknown]             [k] 0xffffffff838ab2a8
     0.00%  app      [unknown]             [k] 0xffffffff838db817
     0.00%  app      [unknown]             [k] 0xffffffff834015f2
     0.00%  app      [unknown]             [k] 0xffffffff83cba056
     0.00%  app      [unknown]             [k] 0xffffffff839be349
     0.00%  app      [unknown]             [k] 0xffffffff83bfcd21
     0.00%  app      [unknown]             [k] 0xffffffff84b32ae5
     0.00%  app      [unknown]             [k] 0xffffffff838a5137
     0.00%  app      [unknown]             [k] 0xffffffff839be3cb
     0.00%  app      [unknown]             [k] 0xffffffff83bfdedb
     0.00%  app      [unknown]             [k] 0xffffffff83888fa6
     0.00%  app      [unknown]             [k] 0xffffffff83c11eb0
     0.00%  app      [unknown]             [k] 0xffffffff841c77fb
     0.00%  app      libc.so.6             [.] cfree@GLIBC_2.2.5
     0.00%  app      [unknown]             [k] 0xffffffff83978172
     0.00%  app      [unknown]             [k] 0xffffffff837c5486
     0.00%  app      [unknown]             [k] 0xffffffff83400ef0
     0.00%  app      [unknown]             [k] 0xffffffff83bfc859
     0.00%  app      [unknown]             [k] 0xffffffff84b1f894
     0.00%  app      [unknown]             [k] 0xffffffff8387fa85
     0.00%  app      [unknown]             [k] 0xffffffff83975774
     0.00%  app      [unknown]             [k] 0xffffffff83a04296
     0.00%  app      [unknown]             [k] 0xffffffff838e6625
     0.00%  app      [unknown]             [k] 0xffffffff83bfddb6
     0.00%  app      [unknown]             [k] 0xffffffff83bfe87d
     0.00%  app      [unknown]             [k] 0xffffffff83b54e35
     0.00%  app      [unknown]             [k] 0xffffffff83b9aa4a
     0.00%  app      [unknown]             [k] 0xffffffff838b95ad
     0.00%  app      [unknown]             [k] 0xffffffff84b048ef
     0.00%  app      [unknown]             [k] 0xffffffff838b830d
     0.00%  app      [unknown]             [k] 0xffffffff838b9682
     0.00%  app      [unknown]             [k] 0xffffffff83975b18
     0.00%  app      [unknown]             [k] 0xffffffff83c7aec6
     0.00%  app      app                   [.] qsort@plt
     0.00%  app      app                   [.] malloc@plt
     0.00%  app      [unknown]             [k] 0xffffffff844209c5
     0.00%  app      [unknown]             [k] 0xffffffff83995c4c
     0.00%  app      [unknown]             [k] 0xffffffff83b5d9c8
     0.00%  app      libm.so.6             [.] __pow_finite@GLIBC_2.15@plt
     0.00%  app      [unknown]             [k] 0xffffffff83beb7c1
     0.00%  app      [unknown]             [k] 0xffffffff839781f5
     0.00%  app      [unknown]             [k] 0xffffffff84b1d041
     0.00%  app      [unknown]             [k] 0xffffffff83b6210a
     0.00%  app      [unknown]             [k] 0xffffffff838b9618
     0.00%  app      [unknown]             [k] 0xffffffff83b54be5
     0.00%  app      [unknown]             [k] 0xffffffff83994c45
     0.00%  app      [unknown]             [k] 0xffffffff83bfe430
     0.00%  app      [unknown]             [k] 0xffffffff8393aaa5
     0.00%  app      [unknown]             [k] 0xffffffff838b83c6
     0.00%  app      [unknown]             [k] 0xffffffff83994f97
     0.00%  app      [unknown]             [k] 0xffffffff83bfcc67
     0.00%  app      [unknown]             [k] 0xffffffff838a51ad
     0.00%  app      [unknown]             [k] 0xffffffff84b1d17a
     0.00%  app      [unknown]             [k] 0xffffffff83c341bb
     0.00%  app      [unknown]             [k] 0xffffffff838db7c8
     0.00%  app      [unknown]             [k] 0xffffffff83cb3b75
     0.00%  app      [unknown]             [k] 0xffffffff83cbb4c4
     0.00%  app      [unknown]             [k] 0xffffffff839747c0
     0.00%  app      [unknown]             [k] 0xffffffff83c11f05
     0.00%  app      [unknown]             [k] 0xffffffff8398f685
     0.00%  app      [unknown]             [k] 0xffffffff84b208e7
     0.00%  app      [unknown]             [k] 0xffffffff8398f529
     0.00%  app      [unknown]             [k] 0xffffffff838b82a3
     0.00%  app      [unknown]             [k] 0xffffffff83977df6
     0.00%  app      [unknown]             [k] 0xffffffff84b1d170
     0.00%  app      [unknown]             [k] 0xffffffff83c7e8cf
     0.00%  app      [unknown]             [k] 0xffffffff83943165
     0.00%  app      [unknown]             [k] 0xffffffff8397894b
     0.00%  app      [unknown]             [k] 0xffffffff83bc5d2c
     0.00%  app      [unknown]             [k] 0xffffffff838b9034
     0.00%  app      [unknown]             [k] 0xffffffff83bfcbc0
     0.00%  app      [unknown]             [k] 0xffffffff84b32210
     0.00%  app      [unknown]             [k] 0xffffffff83751f30
     0.00%  app      [unknown]             [k] 0xffffffff83b6214f
     0.00%  app      [unknown]             [k] 0xffffffff837b0b99
     0.00%  app      [unknown]             [k] 0xffffffff83975b7e
     0.00%  app      [unknown]             [k] 0xffffffff84b04849
     0.00%  app      [unknown]             [k] 0xffffffff83bfded3
     0.00%  app      [unknown]             [k] 0xffffffff838c2ed2
     0.00%  app      [unknown]             [k] 0xffffffff83beb7b8
     0.00%  app      [unknown]             [k] 0xffffffff8397994e
     0.00%  app      [unknown]             [k] 0xffffffff8384dea0
     0.00%  app      [unknown]             [k] 0xffffffff83b857c7
     0.00%  app      [unknown]             [k] 0xffffffff838b899d
     0.00%  app      [unknown]             [k] 0xffffffff838b8327
     0.00%  app      [unknown]             [k] 0xffffffff84af49aa
     0.00%  app      [unknown]             [k] 0xffffffff83bfcac9
     0.00%  app      [unknown]             [k] 0xffffffff838b95c9
     0.00%  app      [unknown]             [k] 0xffffffff83c34109
     0.00%  app      [unknown]             [k] 0xffffffff83c7e8d5
     0.00%  app      [unknown]             [k] 0xffffffff834011be
     0.00%  app      [unknown]             [k] 0xffffffff83c64568
     0.00%  app      [unknown]             [k] 0xffffffff83b98f3a
     0.00%  app      [unknown]             [k] 0xffffffff83bfc807
     0.00%  app      [unknown]             [k] 0xffffffff83cb7381
     0.00%  app      [unknown]             [k] 0xffffffff83bfce6d
     0.00%  app      [unknown]             [k] 0xffffffff838d91a9
     0.00%  app      [unknown]             [k] 0xffffffff83751fc2
     0.00%  app      [unknown]             [k] 0xffffffff83944e44
     0.00%  app      [unknown]             [k] 0xffffffff83979402
     0.00%  app      [unknown]             [k] 0xffffffff83c34c88
     0.00%  app      [unknown]             [k] 0xffffffff83995296
     0.00%  app      [unknown]             [k] 0xffffffff83bfe201
     0.00%  app      [unknown]             [k] 0xffffffff838d94df
     0.00%  app      [unknown]             [k] 0xffffffff84053857
     0.00%  app      [unknown]             [k] 0xffffffff83974dfd
     0.00%  app      ld-linux-x86-64.so.2  [.] __GI___tunables_init
     0.00%  app      [unknown]             [k] 0xffffffff84ada313
     0.00%  app      [unknown]             [k] 0xffffffff84b33f06
     0.00%  app      [unknown]             [k] 0xffffffff84b17083
     0.00%  app      [unknown]             [k] 0xffffffff837a53ca
     0.00%  perf-ex  [unknown]             [k] 0xffffffff83b61710
     0.00%  app      [unknown]             [k] 0xffffffff84b1d084
     0.00%  app      [unknown]             [k] 0xffffffff84b1d0ad
     0.00%  app      [unknown]             [k] 0xffffffff83b62050
     0.00%  app      [unknown]             [k] 0xffffffff83b6208c
